smiles,logp,sa,qed,logp-sa,weight,tpsa
C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1,0.172386357,3.432003819,0.941111611,-0.318303819,285.39500000000004,55.63
Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C,0.884365599,2.595621197,0.913741938,0.100038803,358.4630000000002,66.48
N#Cc1ccncc1NC[C@@H]1C[C@@]12CCc1ccccc12,-0.302931225,3.918602176,0.934901725,-0.649322176,275.355,48.71
Cc1cccn2c(=O)c(C(=O)NC[C@H]3CCO[C@@H]3C(C)C)cnc12,-0.768318028,3.449086114,0.928116408,-1.655266114,329.40000000000003,72.7
COc1cc(C)ccc1OCC(=O)Nc1nnc(C)s1,1.345678669,1.912049037,0.914356812,0.268990963,293.348,73.34
Cc1noc(C)c1C[C@H](C)C(=O)N[C@@H](C)C1CCCCC1,0.798832234,3.166321591,0.902533061,0.388718409,292.4230000000001,55.13
CC[C@@H](NC(=O)[C@H](C)n1cccn1)c1ccc(C)c(F)c1,0.714687304,3.006379416,0.918746376,0.152740584,289.35400000000004,46.92
N#CC1(NC(=O)COc2cccc(Cl)c2)CCCC1,1.349188462,2.19407202,0.920916093,0.47730798,278.73900000000003,62.120000000000005
Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1,0.704228024,2.917352343,0.940866813,0.073567657,281.768,54.88
Cc1cccc(C(=O)N[C@@H](C(=O)N2CCC[C@@H](C)C2)C(C)C)c1,1.052090007,2.63728129,0.928077208,0.37063871,316.44500000000005,49.41
COc1ccc(F)cc1C(=O)Nc1nccs1,1.653412565,1.865948313,0.912855681,0.677151687,252.27,51.22
O=C(NCc1cccs1)C1(c2cccc(Cl)c2)CCC1,2.393852834,2.176540897,0.903469982,1.963059103,305.8300000000001,29.1
Cc1[nH]c(=O)c(C(=O)N2CCN(c3ccccc3)C(=O)C2)c(C)c1C,0.553972188,2.344221805,0.9064349,-0.555061805,339.3950000000001,73.48
O=C(NCCS(=O)(=O)c1ccccc1)N1CCC[C@@H]2CCC[C@@H]21,0.33893155,2.898427245,0.918169682,-0.464027245,336.45700000000016,66.48
CCC(CC)C(=O)Nc1cnn(-c2ccccc2F)c1,1.860628645,2.183117169,0.908845675,1.202982831,275.32700000000006,46.92
CC[C@@H](C)NC(=O)c1ccc2c(c1)CCCN2S(C)(=O)=O,0.406589661,2.547228473,0.923791612,-0.620128473,310.41900000000004,66.48
COc1cc(CNC(=O)c2occc2Br)ccn1,0.911426872,2.387128548,0.941357738,-0.011428548,311.13500000000005,64.36
O=C(N[C@@H]1CCO[C@@H]1c1ccc(Cl)c(F)c1)[C@H]1Cc2ccccc2O1,0.378128462,3.443741993,0.910745345,-0.014741993,361.8000000000001,47.56
Cc1ccc([C@H](C)NC(=O)CN(C)C(=O)OC(C)(C)C)cc1F,1.256613634,2.565772075,0.925210736,0.612447925,324.396,58.64
C[C@@H](Nc1ccc2c(c1)CCC2)C(=O)N1CCCC1,0.981024778,2.458359287,0.903538164,0.139740713,258.3649999999999,32.34
CN(C(=O)c1ccc(Cl)cc1O)C1CCC(=O)CC1,1.158428677,2.328620541,0.906490072,0.300679459,281.73900000000003,57.61000000000001
CC(=O)Nc1ccc(O[C@H](C)c2nc(C(C)(C)C)no2)cc1,1.323648405,2.676842582,0.935469763,0.788657418,303.362,77.25
CN(c1ccccc1)S(=O)(=O)c1ccc2c(c1)C(C)(C)C(=O)N2,1.302592174,2.273601311,0.940824518,0.467798689,330.40900000000005,66.48
Cc1cc(CN2CCN3C(=O)NC[C@@H]3C2)cc(C)c1OC(F)F,-0.132210392,3.105081065,0.92214448,-0.990841065,325.35900000000004,44.81
CNC(=O)CN1c2ccccc2C(=O)N(C)[C@H]1c1ccccc1O,-0.103123642,2.856964348,0.901310033,-1.127964348,325.36800000000005,72.88000000000001
Cc1ccccc1Oc1cc(Br)ccc1C[NH3+],1.372815145,2.534873313,0.925958145,0.756846687,293.1840000000001,36.870000000000005
Cc1nc2n(n1)CCC[C@@H]2N[C@@H]1CCc2c(Cl)cc(Cl)cc21,0.465167563,3.706106633,0.900512972,0.299213367,337.2540000000001,42.74
Cc1nc(-c2ccc(Cl)s2)sc1C(=O)N[C@H]1C[C@H]1C,1.0860237,3.169026302,0.93139053,0.802593698,312.84700000000004,41.99
CCC(=O)N1CCCN(C(=O)N[C@@H]2CCc3ccccc32)CC1,-2.804922282,2.542754732,0.910471191,-0.214954732,315.4170000000001,52.650000000000006
Cc1cccc([C@@H](C)[NH2+]CCS(=O)(=O)C(C)(C)C)c1C,-0.922979501,3.77983573,0.905239594,-1.63869573,298.47200000000004,50.75
