smiles,logp,sa,qed,logp-sa,weight,tpsa
O=C(NC[C@@H]1COc2ccccc2O1)c1ccccc1Cl,1.366258885,2.318395115,0.948190206,0.591404885,303.745,47.56
Cc1ccc(F)c(NC(=O)c2ccc(S(C)(=O)=O)cc2)c1,2.078430033,1.655120544,0.948099664,1.134799456,307.34600000000006,63.24
COc1cc(Cl)c(C)cc1NC(=O)c1ccc(=O)n(C)c1,1.492750353,2.037590179,0.947946799,0.570429821,306.749,60.33
Cc1ccc(C)c(N2C[C@@H](C(=O)Nc3cccnc3)CC2=O)c1,1.049366143,2.454823909,0.947925576,0.235216091,309.36900000000014,62.3
CN(Cc1ccco1)C(=O)c1cc(Br)ccc1O,1.738783166,2.071870195,0.947889969,0.948029805,310.147,53.68000000000001
Cc1cc(=O)n(CC(=O)Nc2c(C)cccc2Cl)nc1C,1.270702558,2.137037143,0.947132329,0.323622857,305.76500000000004,63.99
CN(C)c1ccc(NC(=O)c2scc3c2OCCO3)cc1,1.281410842,2.347160544,0.947119802,0.490439456,304.37100000000004,50.80000000000001
CC(=O)N1CCc2cc(NC(=O)Cc3ccccc3C)ccc21,1.959454012,1.925895513,0.947026364,1.159324487,308.38100000000003,49.41
CNC(=O)Cc1csc(-c2cccc(Br)c2)n1,1.616628621,2.081406005,0.946890325,0.779693995,311.204,41.99
Cc1cncc(C(=O)N[C@@H]2CCCN(c3ccccc3)C2)c1,1.181493615,2.40209638,0.946786663,0.38672362,295.386,45.23
N#Cc1ccc(NC(=O)[C@H]2CC(=O)N(c3ccccc3)C2)cc1,1.160617956,2.280642844,0.946763146,0.269237156,305.33700000000005,73.2
Cc1ccc(NC(=O)Cc2cc(C)on2)c(Br)c1,1.909375524,2.054759118,0.946762074,1.180380882,309.163,55.13
Cc1cncc(C(=O)NCc2ccc3c(c2)CCCN3C)c1,1.41538714,2.156932148,0.946695642,0.545487852,295.386,45.23
Cc1ccc(NC(=O)Cn2c(C)cc(C)c(C#N)c2=O)c(C)c1,1.400868432,2.105075257,0.946608195,0.487284743,309.369,74.89
COc1ccccc1NC(=O)[C@H]1Cc2ccccc2CN1C,1.11959398,2.396496758,0.946596693,0.293903242,296.37000000000006,41.57
CCc1cccc(NC(=O)[C@@H]2Cc3ccccc3N2C(C)=O)c1,1.432468012,2.411685684,0.946585952,0.753614316,308.38100000000003,49.41
Cc1ccc(CN(C)C(=O)c2cc(Br)c[nH]2)o1,1.216201453,2.467308808,0.94657548,0.483511192,297.152,49.24
